id,item_id,coef,custo
1,1,1.00,150.00
2,1,1.00,19.96
3,2,0.13,18.06
4,2,0.13,14.22
5,2,0.01,14.33
6,2,0.02,11.87
7,2,0.04,3.06
8,2,0.09,170.95
9,3,4.00,14.35
3,3,8.00,18.06
10,3,8.00,20.45
11,3,8.00,18.45
4,3,8.12,14.22
12,3,0.02,52.48
5,3,1.00,14.33
7,3,25.00,3.06
8,3,8.00,170.95
13,3,1.00,450.00
14,3,1.00,116.00
15,4,24.00,14.35
16,4,24.00,20.41
17,4,27.00,1.10
18,4,1.00,100.35
19,4,1.00,1041.38
20,5,6.70,18.06
11,5,0.40,18.45
4,5,7.50,14.22
21,5,1.18,22.18
5,5,0.20,14.33
7,5,4.39,3.06
8,5,2.11,170.95
22,5,1.37,43.50
23,5,1.19,102.00
28,7,0.52,14.22
3,7,2.08,18.06
29,7,1.20,24.79
5,7,0.20,14.33
7,7,7.83,3.06
30,7,5.45,6.83
31,7,0.02,13.81
5,7,0.10,14.33
32,8,0.08,12.83
33,8,0.08,18.42
34,8,11.40,0.14
24,8,1.10,4.33
6,8,0.02,11.87
11,9,1.65,18.45
4,9,4.50,14.22
35,9,0.20,43.00
36,9,0.00,0.00
28,10,0.44,14.22
3,10,1.78,18.06
29,10,1.25,24.79
5,10,0.20,14.33
7,10,6.00,3.06
30,10,8.25,6.83
8,10,0.52,170.95
31,10,0.02,13.81
4,17,0.70,14.22
57,6,0.82,52.48
58,6,277.72,0.39
59,6,0.59,49.99
60,6,10.02,20.02
61,12,0.69,533.12
62,12,1.49,23.75
60,12,0.75,20.02
63,12,0.01,416.07
64,13,1.00,265.28
62,13,0.30,23.75
65,13,0.80,23.61
60,13,1.20,20.02
66,13,0.006,407.51
67,14,3.00,38.59
68,14,1.00,240.23
69,14,19.80,0.03
70,14,1.55,23.25
60,14,0.773,20.02
71,11,56.62,0.30
72,11,0.81,2.20
73,11,0.02,26.57
74,11,0.01,447.81
62,11,2.723,23.75
60,11,1.36,20.02
75,15,1.05,5.72
65,15,0.04,23.61
60,15,0.04,20.02
76,15,0.01,66.68
77,16,1.17,28.19
78,16,4.15,0.87
60,16,0.10,20.02
79,16,0.09,23.20
80,16,0.0009,24.56
81,16,0.0013,23.82
