CODIGO  ,DESCRICAO DO INSUMO,UNIDADE DE MEDIDA,ORIGEM DO PRECO,PRECO MEDIANO R$
7325,!EM PROCESSO DE DESATIVACAO! ADITIVO IMPERMEABILIZANTE DE PEGA NORMAL PARA ARGAMASSAS E CONCRETOS SEM ARMACAO                                                                                                                                                                                                                                                                                                                                                                                             ,KG    ,CR,"5,47"
39847,!EM PROCESSO DE DESATIVACAO! AR-CONDICIONADO FRIO SPLIT HI-WALL (PAREDE) 12000 BTU/H                                                                                                                                                                                                                                                                                                                                                                                                                      ,UN    ,CR,"1.514,56"
39844,!EM PROCESSO DE DESATIVACAO! AR-CONDICIONADO FRIO SPLIT HI-WALL (PAREDE) 18000 BTU/H                                                                                                                                                                                                                                                                                                                                                                                                                      ,UN    ,CR,"2.235,19"
39846,!EM PROCESSO DE DESATIVACAO! AR-CONDICIONADO FRIO SPLIT HI-WALL (PAREDE) 9000 BTU/H                                                                                                                                                                                                                                                                                                                                                                                                                       ,UN    ,CR,"1.365,65"
39838,!EM PROCESSO DE DESATIVACAO! AR-CONDICIONADO FRIO SPLIT PISO-TETO 18000 BTU/H                                                                                                                                                                                                                                                                                                                                                                                                                             ,UN    ,CR,"3.785,14"
39839,!EM PROCESSO DE DESATIVACAO! AR-CONDICIONADO FRIO SPLIT PISO-TETO 24000 BTU/H                                                                                                                                                                                                                                                                                                                                                                                                                             ,UN    ,CR,"3.954,62"
39841,!EM PROCESSO DE DESATIVACAO! AR-CONDICIONADO FRIO SPLIT PISO-TETO 36000 BTU/H                                                                                                                                                                                                                                                                                                                                                                                                                             ,UN    ,CR,"5.358,70"
39842,!EM PROCESSO DE DESATIVACAO! AR-CONDICIONADO FRIO SPLIT PISO-TETO 48000 BTU/H                                                                                                                                                                                                                                                                                                                                                                                                                             ,UN    ,CR,"6.807,56"
39843,!EM PROCESSO DE DESATIVACAO! AR-CONDICIONADO FRIO SPLIT PISO-TETO 60000 BTU/H                                                                                                                                                                                                                                                                                                                                                                                                                             ,UN    ,CR,"7.514,79"
2404,!EM PROCESSO DE DESATIVACAO! DIVISORIA COLMEIA CEGA COM MONTANTE E RODAPE DE ALUMINIO ANODIZADO SIMPLES (SEM COLOCACAO)                                                                                                                                                                                                                                                                                                                                                                                   ,M2    ,C ,"84,62"
2720,"!EM PROCESSO DE DESATIVACAO! ESCAVADEIRA DRAGA DE ARRASTE, CAP. 3/4 JC 140HP (INCL MANUTENCAO/OPERACAO)                                                                                                                                                                                                                                                                                                                                                                                                   ",H     ,CR,"154,02"
2719,"!EM PROCESSO DE DESATIVACAO! ESCAVADEIRA HIDRAULICA SOBRE ESTEIRAS DE 99 HP, PESO OPERACIONAL DE *16* T E CAPACIDADE DE 0,85 A 1,00 M3 (LOCACAO COM OPERADOR, COMBUSTIVEL E MANUTENCAO)                                                                                                                                                                                                                                                                                                                   ",H     ,C ,"130,50"
3378,"!EM PROCESSO DE DESATIVACAO! HASTE DE ATERRAMENTO EM ACO COM 3,00 M DE COMPRIMENTO E DN = 3/4"", REVESTIDA COM BAIXA CAMADA DE COBRE, SEM CONECTOR                                                                                                                                                                                                                                                                                                                                                         ",UN    ,CR,"63,01"
3380,"!EM PROCESSO DE DESATIVACAO! HASTE DE ATERRAMENTO EM ACO COM 3,00 M DE COMPRIMENTO E DN = 5/8"", REVESTIDA COM BAIXA CAMADA DE COBRE, COM CONECTOR TIPO GRAMPO                                                                                                                                                                                                                                                                                                                                             ",UN    ,C ,"44,11"
3379,"!EM PROCESSO DE DESATIVACAO! HASTE DE ATERRAMENTO EM ACO COM 3,00 M DE COMPRIMENTO E DN = 5/8"", REVESTIDA COM BAIXA CAMADA DE COBRE, SEM CONECTOR                                                                                                                                                                                                                                                                                                                                                         ",UN    ,CR,"42,58"
3346,"!EM PROCESSO DE DESATIVACAO! LOCACAO DE GRUPO GERADOR *80 A 125* KVA, MOTOR DIESEL, REBOCAVEL, ACIONAMENTO MANUAL                                                                                                                                                                                                                                                                                                                                                                                         ",H     ,C ,"13,50"
3348,"!EM PROCESSO DE DESATIVACAO! LOCACAO DE GRUPO GERADOR ACIMA DE * 125 ATE 180* KVA, MOTOR DIESEL, REBOCAVEL, ACIONAMENTO MANUAL                                                                                                                                                                                                                                                                                                                                                                            ",H     ,CR,"16,15"
3345,"!EM PROCESSO DE DESATIVACAO! LOCACAO DE GRUPO GERADOR ACIMA DE * 20 A 80* KVA, MOTOR DIESEL, REBOCAVEL, ACIONAMENTO MANUAL                                                                                                                                                                                                                                                                                                                                                                                ",H     ,CR,"10,43"
39833,"!EM PROCESSO DE DESATIVACAO! LOCACAO DE GRUPO GERADOR DE *260* KVA, DIESEL REBOCAVEL, ACIONAMENTO MANUAL                                                                                                                                                                                                                                                                                                                                                                                                  ",H     ,CR,"22,12"
39834,"!EM PROCESSO DE DESATIVACAO! LOCACAO DE GRUPO GERADOR DE *400* KVA, DIESEL REBOCAVEL, ACIONAMENTO MANUAL                                                                                                                                                                                                                                                                                                                                                                                                  ",H     ,CR,"37,96"
39835,"!EM PROCESSO DE DESATIVACAO! LOCACAO DE GRUPO GERADOR DE *550* KVA, DIESEL REBOCAVEL, ACIONAMENTO MANUAL                                                                                                                                                                                                                                                                                                                                                                                                  ",H     ,CR,"46,28"
13382,"!EM PROCESSO DE DESATIVACAO! LUMINARIA FECHADA P/ ILUMINACAO PUBLICA, TIPO ABL 50/F OU EQUIV, P/ LAMPADA A VAPOR DE MERCURIO 400W                                                                                                                                                                                                                                                                                                                                                                         ",UN    ,CR,"189,42"
4126,"!EM PROCESSO DE DESATIVACAO! TERMINAL DE PORCELANA (MUFLA) UNIPOLAR, USO EXTERNO, TENSAO 3,6/6 KV, PARA CABO DE 10/16 MM2, COM ISOLAMENTO EPR                                                                                                                                                                                                                                                                                                                                                             ",UN    ,C ,"209,97"
10615,"!EM PROCESSO DE DESATIVACAO! VEICULO DE PASSEIO COM MOTOR 1.0 FLEX, POTENCIA 72/85 CV, 5 PORTAS, COR SOLIDA, BASICO                                                                                                                                                                                                                                                                                                                                                                                       ",UN    ,C ,"46.590,00"
21136,"!EM PROCESSO DESATIVACAO! ELETRODUTO EM ACO GALVANIZADO ELETROLITICO, LEVE, DIAMETRO 1"", PAREDE DE 0,90 MM                                                                                                                                                                                                                                                                                                                                                                                                ",M     ,CR,"11,84"
21128,"!EM PROCESSO DESATIVACAO! ELETRODUTO EM ACO GALVANIZADO ELETROLITICO, LEVE, DIAMETRO 3/4"", PAREDE DE 0,90 MM                                                                                                                                                                                                                                                                                                                                                                                              ",M     ,C ,"9,16"
21130,"!EM PROCESSO DESATIVACAO! ELETRODUTO EM ACO GALVANIZADO ELETROLITICO, SEMI-PESADO, DIAMETRO 1 1/2"", PAREDE DE 1,20 MM                                                                                                                                                                                                                                                                                                                                                                                     ",M     ,CR,"23,13"
21135,"!EM PROCESSO DESATIVACAO! ELETRODUTO EM ACO GALVANIZADO ELETROLITICO, SEMI-PESADO, DIAMETRO 1 1/4"", PAREDE DE 1,20 MM                                                                                                                                                                                                                                                                                                                                                                                     ",M     ,CR,"22,77"
38605,ABERTURA PARA ENCAIXE DE CUBA OU LAVATORIO EM BANCADA DE MARMORE/ GRANITO OU OUTRO TIPO DE PEDRA NATURAL                                                                                                                                                                                                                                                                                                                                                                                                  ,UN    ,CR,"94,18"
11270,"ABRACADEIRA DE LATAO PARA FIXACAO DE CABO PARA-RAIO, DIMENSOES 32 X 24 X 24 MM                                                                                                                                                                                                                                                                                                                                                                                                                            ",UN    ,CR,"1,92"
412,"ABRACADEIRA DE NYLON PARA AMARRACAO DE CABOS, COMPRIMENTO DE *230* X *7,6* MM                                                                                                                                                                                                                                                                                                                                                                                                                             ",UN    ,CR,"0,77"
414,"ABRACADEIRA DE NYLON PARA AMARRACAO DE CABOS, COMPRIMENTO DE 100 X 2,5 MM                                                                                                                                                                                                                                                                                                                                                                                                                                 ",UN    ,CR,"0,04"
410,"ABRACADEIRA DE NYLON PARA AMARRACAO DE CABOS, COMPRIMENTO DE 150 X *3,6* MM                                                                                                                                                                                                                                                                                                                                                                                                                               ",UN    ,CR,"0,11"
411,"ABRACADEIRA DE NYLON PARA AMARRACAO DE CABOS, COMPRIMENTO DE 200 X *4,6* MM                                                                                                                                                                                                                                                                                                                                                                                                                               ",UN    ,C ,"0,15"
408,"ABRACADEIRA DE NYLON PARA AMARRACAO DE CABOS, COMPRIMENTO DE 390 X *4,6* MM                                                                                                                                                                                                                                                                                                                                                                                                                               ",UN    ,CR,"0,74"
39131,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1 1/2"" E CUNHA DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                   ",UN    ,CR,"1,53"
394,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1 1/2"" E PARAFUSO DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                ",UN    ,CR,"1,55"
39130,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1 1/4"" E CUNHA DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                   ",UN    ,CR,"1,39"
395,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1 1/4"" E PARAFUSO DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                ",UN    ,CR,"1,49"
39127,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1/2"" E CUNHA DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                     ",UN    ,CR,"0,73"
392,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1/2"" E PARAFUSO DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                  ",UN    ,CR,"0,75"
39129,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1"" E CUNHA DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                       ",UN    ,CR,"0,86"
393,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1"" E PARAFUSO DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                    ",UN    ,C ,"0,90"
39133,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 2 1/2"" E CUNHA DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                   ",UN    ,CR,"2,01"
397,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 2 1/2"" E PARAFUSO DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                ",UN    ,CR,"2,22"
39132,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 2"" E CUNHA DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                       ",UN    ,CR,"1,60"
396,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 2"" E PARAFUSO DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                    ",UN    ,CR,"1,72"
39135,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 3 1/2"" E CUNHA DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                   ",UN    ,CR,"3,21"
39128,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 3/4"" E CUNHA DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                     ",UN    ,CR,"0,80"
400,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 3/4"" E PARAFUSO DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                  ",UN    ,CR,"0,78"
39125,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 3/8"" E PARAFUSO DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                  ",UN    ,CR,"0,80"
39134,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 3"" E CUNHA DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                       ",UN    ,CR,"2,68"
398,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 3"" E PARAFUSO DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                    ",UN    ,CR,"2,47"
39126,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 4"" E CUNHA DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                       ",UN    ,CR,"3,61"
399,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 4"" E PARAFUSO DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                    ",UN    ,CR,"3,18"
39158,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO ECONOMICA (GOTA), COM 8""                                                                                                                                                                                                                                                                                                                                                                                                                           ",UN    ,CR,"8,55"
39141,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 1 1/2""                                                                                                                                                                                                                                                                                                                                                                                                                              ",UN    ,CR,"0,62"
39140,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 1 1/4""                                                                                                                                                                                                                                                                                                                                                                                                                              ",UN    ,CR,"0,56"
39137,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 1/2""                                                                                                                                                                                                                                                                                                                                                                                                                                ",UN    ,CR,"0,32"
